poem
"松阴疏冷罩寒门,静见吾宗已绝论.驱得万途归理窟,更无一事出心源.烟云忽闭岩前洞,鸡犬时闻岭下村.放旷本来无别意,免教停海起波痕."
"景虚情澹两何依,抱一冥真绝万机.松韵余风凉竹户,柏摇残露湿禅衣.岩灯雾逼寒光小,石像尘昏古画微.得趣了然无所虑,任缘终日送斜晖."
"遁迹无图匿姓名,万重山后葺茅亭.随情因事搜新偈,探妙穷微阅古经.与道交时心绝念,从缘感处物通灵.应须长远存高节,屹屹乔松老更青."
"闲思尘世大悠哉,进趣门中尽可该.抛却工夫平世路,枉劳心力搆僊台.隘空云水千重合,帀野烟霞一径开.幸有圆成平坦处,辛勤谁解望山来."
"千途尽向空源出,万景终归一路通.忽尔有心成大患,坦然无事却全功.春开小岫调新绿,水漾漂霞蘸晚红.莫道境缘能幻惑,达来何处不消融."
"身心闲后思怡然,缅想难忘契道言.千种却教归淡薄,万般须是到根源.疏疏雨趁归巢鸟,密密烟藏抱子猿.禅罢吟来无一事,远山驱景入茅轩."
"万境闲来情澹澹,群嚣息后思微微.当时白业无门入,今日玄关有路归.熟果不摇翻自落,生禽谁唤却惊飞.到头何用空忙得,任运应须待对机."
"携筇闲步望山行,竟日逍遥任野情.上岭梯登危石侧,渡溪桥踏古槎横.绿罗水皱岩根急,红锦霞舒海面明.一轴咏怀高尚意,援毫因事偶吟成."
"负气争权事可悲,金貂绣毂尽何之.唯闻野棘盘荒冢,祇见空陵叠坏碑.灯暗竹堂行道夜,烟昏石窟坐禅时.怡然自得真栖处,何用经营别路岐."
"豪贵从他纵胜游,多欢终是复多愁.茅茨舍宇偏安稳,粪埽衣裳最自由.数片云飞书案上,一条泉路卧床头.分明自有安身处,争柰人闲不肯休."
"高才宏略气凌云,世上浮名梦里身.苏氏谩称降六国,韩公休说卷三秦.当朝虽立千年事,古庙唯存一聚尘.毕竟思量浑大错,何如林下养天真."
"高怀怡淡景相和,才到尘途事便多.碧嶂好期长定计,朱门唯见暂时过.雄雄负气争权路,岌岌新坟占野坡.成败分明刚不悟,未知凡俗意如何."
"得理元来行自成,万般情断一心冥.樵人不到缘山僻,游客难逢为岳灵.食蘗苦心何日就,看花醉眼几时醒.索然身外无余物,云满前山水满瓶."
"名利梯媒事已忘,唯凭拙直定行藏.探玄休炼长生药,助道时抄歇食方.溪汲古痕山雨涨,树摧残枿野风狂.一言欲寄休回首,尘路如今事正忙."
